,A_m2,Bankfull_depth_m,Channel_Width_m,Levee_to_Levee_m,Soil_Type
HUC_1802010401,337070016.0,1.37417662144,28.1411571503,56.2823143005,Clay loam
HUC_1802010402,219510000.0,1.23288857937,23.7154960632,47.4309921265,Loam
HUC_1802010405,450889984.0,1.47915232182,31.6054210663,63.2108421326,Clay loam
HUC_1802010406,322950016.0,1.35938513279,27.6649341583,55.3298683167,Clay
HUC_1802010407,293710016.0,1.3271355629,26.6369895935,53.273979187,Clay
HUC_1802010410,627760000.0,1.60836923122,36.0681915283,72.1363830566,Silty clay loam
HUC_1802011101,262130000.0,1.28963923454,25.4598140717,50.9196281433,Sandy loam
HUC_1802011505,256430000.0,1.28232622147,25.2325000763,50.4650001526,Clay loam
HUC_1802012509,279760000.0,1.31104195118,26.1293544769,52.2587089539,Silt loam
HUC_1802012604,296080000.0,1.33000195026,26.7277774811,53.4555549622,Silt loam
HUC_1802015101,206950000.0,1.21468019485,23.1654834747,46.3309669495,Loam
HUC_1802015102,204320000.0,1.21075308323,23.0474777222,46.0949554443,Loam
HUC_1802015103,387350016.0,1.42341172695,29.7476215363,59.4952430725,Loam
HUC_1802015201,230520000.0,1.2482033968,24.1817512512,48.3635025024,Loam
HUC_1802015204,262880000.0,1.29039251804,25.4832687378,50.9665374756,Loam
HUC_1802015205,159310000.0,1.13681221008,20.8671836853,41.7343673706,Loam
HUC_1802015206,395900000.0,1.43124568462,30.006231308,60.012462616,Clay loam
HUC_1802015203,352260000.0,1.38957440853,28.6400547028,57.2801094055,Loam
HUC_1802015301,503140000.0,1.52083861828,33.0215339661,66.0430679321,Loam
HUC_1802015302,310340000.0,1.34582531452,27.2309856415,54.461971283,Loam
HUC_1802015401,644860032.0,1.61927652359,36.4546928406,72.9093856812,Loam
HUC_1802015402,172970000.0,1.16074419022,21.5641765594,43.1283531189,Loam
HUC_1802015404,320129984.0,1.35641908646,27.5697994232,55.1395988464,Loam
HUC_1802015501,243380000.0,1.2655352354,24.7134075165,49.426815033,Loam
HUC_1802015502,192390000.0,1.19242036343,22.4995269775,44.9990539551,Clay loam
HUC_1802015503,286150016.0,1.31839001179,26.3606891632,52.7213783264,Clay loam
HUC_1802015601,508020000.0,1.80306923389,43.1906051636,86.3812103271,Loam
HUC_1802015602,357910016.0,1.39518415928,28.8226070404,57.6452140808,Loam
HUC_1802015603,344289984.0,1.38164877892,28.3828601837,56.7657203674,Loam
HUC_1802015605,280009984.0,1.31117653847,26.1335830688,52.2671661377,Clay loam
HUC_1802015701,196380000.0,1.19866383076,22.6855983734,45.3711967468,Loam
HUC_1802015702,574569984.0,1.57280147076,34.8183364868,69.6366729736,Loam
HUC_1802015703,378649984.0,1.41522634029,29.4782886505,58.956577301,Clay loam
HUC_1802015705,214710000.0,1.22607421875,23.5091056824,47.0182113647,Loam
HUC_1802015901,552529984.0,1.55735146999,34.2804603577,68.5609207153,Loam
HUC_1802015902,191270000.0,3.20085740089,106.777915955,213.555831909,Loam
HUC_1802015903,193220000.0,1.19383120537,22.5415229797,45.0830459595,Silt loam
HUC_1802016101,165270000.0,1.1476085186,21.1805744171,42.3611488342,Loam
HUC_1802016102,365150016.0,1.4024515152,29.0597362518,58.1194725037,Silt loam
HUC_1802016301,121790000.0,1.06218540668,18.7481498718,37.4962997437,Clay loam
HUC_1802011607,587849984.0,2.39264392853,67.4772949219,134.954589844,Clay loam
HUC_1802016205,224770000.0,2.06764984131,53.6005706787,107.201141357,Clay loam
HUC_1802016305,374670016.0,1.41148781776,29.3555755615,58.711151123,Clay loam
HUC_1802011102,264780000.0,2.73147845268,83.1515884399,166.30317688,Loam
HUC_1802016304,335049984.0,1.37225365639,28.0790786743,56.1581573486,Loam
HUC_1804000101,188900000.0,1.18756270409,22.3551445007,44.7102890015,Sandy loam
HUC_1804000102,318540000.0,1.35527765751,27.5332221985,55.066444397,Sandy loam
HUC_1804000107,289420000.0,1.69294548035,39.1044006348,78.2088012695,Loam
